region,country,year,series,value,footnotes,source,pop,lifeExp,gdpPercap
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),4338.334,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),6929.926,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,1995,Emissions (thousand metric tons of carbon dioxide),1848.549,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),3825.184,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),3930.295,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),3824.801,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2016,Emissions (thousand metric tons of carbon dioxide),3674.183,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2017,Emissions (thousand metric tons of carbon dioxide),4342.011,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.804,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.337,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,1995,Emissions per capita (metric tons of carbon dioxide),0.58,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.27,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.349,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2015,Emissions per capita (metric tons of carbon dioxide),1.328,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2016,Emissions per capita (metric tons of carbon dioxide),1.278,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
8,Albania,2017,Emissions per capita (metric tons of carbon dioxide),1.511,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",3600523,76.423,5937.029526
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),13552.694,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),42073.253,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,1995,Emissions (thousand metric tons of carbon dioxide),55336.862,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),77474.13,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),95535.489,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),130426.655,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2016,Emissions (thousand metric tons of carbon dioxide),127640.064,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2017,Emissions (thousand metric tons of carbon dioxide),130493.653,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,1975,Emissions per capita (metric tons of carbon dioxide),0.811,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,1985,Emissions per capita (metric tons of carbon dioxide),1.864,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,1995,Emissions per capita (metric tons of carbon dioxide),1.915,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2005,Emissions per capita (metric tons of carbon dioxide),2.327,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2010,Emissions per capita (metric tons of carbon dioxide),2.645,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2015,Emissions per capita (metric tons of carbon dioxide),3.271,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2016,Emissions per capita (metric tons of carbon dioxide),3.143,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
12,Algeria,2017,Emissions per capita (metric tons of carbon dioxide),3.158,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",33333216,72.301,6223.367465
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),1955.802,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),2817.595,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,1995,Emissions (thousand metric tons of carbon dioxide),3913.613,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),6146.691,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),15151.684,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),21532.32,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2016,Emissions (thousand metric tons of carbon dioxide),21458.342,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2017,Emissions (thousand metric tons of carbon dioxide),18021.394,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.255,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.266,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,1995,Emissions per capita (metric tons of carbon dioxide),0.274,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2005,Emissions per capita (metric tons of carbon dioxide),0.314,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2010,Emissions per capita (metric tons of carbon dioxide),0.648,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2015,Emissions per capita (metric tons of carbon dioxide),0.773,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2016,Emissions per capita (metric tons of carbon dioxide),0.745,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
24,Angola,2017,Emissions per capita (metric tons of carbon dioxide),0.605,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",12420476,42.731,4797.231267
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),85231.756,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),87779.28,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,1995,Emissions (thousand metric tons of carbon dioxide),117327.938,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),149476.04,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),173768.538,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),190384.899,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2016,Emissions (thousand metric tons of carbon dioxide),190512.04,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2017,Emissions (thousand metric tons of carbon dioxide),183375.203,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.27,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,1985,Emissions per capita (metric tons of carbon dioxide),2.889,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,1995,Emissions per capita (metric tons of carbon dioxide),3.353,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2005,Emissions per capita (metric tons of carbon dioxide),3.819,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4.215,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2015,Emissions per capita (metric tons of carbon dioxide),4.385,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2016,Emissions per capita (metric tons of carbon dioxide),4.345,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
32,Argentina,2017,Emissions per capita (metric tons of carbon dioxide),4.142,NA,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020.",40301927,75.32,12779.37964
